Event 1,,,,,,,,,,,,,,Length Strata (values set on the KS Input tab),,
Event,Unique,Crew,Data Page,Date,Time,Tag Number,Fork Length (mm),Weight (lbs),Area,Area Description,Lat (WGS84),Long (WGS84),Comments,All,Small,Big
1,221,,12,3/11/2025,,20037,650,,CROA,RM 0-1,64.98561,-148.8803,,yes,yes,
1,222,,12,3/11/2025,,20036,733,,CROA,RM 0-1,64.98561,-148.8803,,yes,,yes
1,223,,12,3/11/2025,,20035,676,,CROA,RM 0-1,64.98561,-148.8803,,yes,yes,
1,224,,12,3/11/2025,,20034,605,,CROA,RM 0-1,64.98561,-148.8803,,yes,yes,
1,225,,12,3/11/2025,,20033,957,,CROA,RM 0-1,64.98561,-148.8803,,yes,,yes
1,226,,12,3/11/2025,,20032,567,,CROA,RM 0-1,64.98561,-148.8803,,yes,,
1,227,,13,3/11/2025,,20428,568,,CROA,RM 0-1,64.98561,-148.8803,,yes,,
1,228,,13,3/11/2025,,20429,595,,CROA,RM 0-1,64.98561,-148.8803,,yes,,
1,229,,13,3/11/2025,,20430,640,,CROA,RM 0-1,64.98561,-148.8803,,yes,yes,
1,230,,13,3/11/2025,,20431,566,,CROA,RM 0-1,64.98561,-148.8803,,yes,,
1,231,,13,3/11/2025,,20432,593,,CROA,RM 0-1,64.98561,-148.8803,,yes,,
1,232,,13,3/11/2025,,20433,668,,CROA,RM 0-1,64.98561,-148.8803,,yes,yes,
1,233,,13,3/11/2025,,20434,622,,CROA,RM 0-1,64.98561,-148.8803,,yes,yes,
1,234,,13,3/11/2025,,20435,677,,CROA,RM 0-1,64.98561,-148.8803,,yes,yes,
1,235,,13,3/11/2025,,20436,683,,CROA,RM 0-1,64.98561,-148.8803,,yes,yes,
1,236,,14,3/11/2025,,20031,843,,CROA,RM 0-1,64.98561,-148.8803,,yes,,yes
1,237,,14,3/11/2025,,20030,603,,CROA,RM 0-1,64.98561,-148.8803,,yes,yes,
1,238,,14,3/11/2025,,20029,628,,CROA,RM 0-1,64.98561,-148.8803,,yes,yes,
1,239,,14,3/11/2025,,20028,903,,CROA,RM 0-1,64.98561,-148.8803,,yes,,yes
1,240,,14,3/11/2025,,20026,783,,CROA,RM 0-1,64.98561,-148.8803,,yes,,yes
1,241,,14,3/11/2025,,20076,594,,CROA,RM 0-1,64.98561,-148.8803,,yes,,
1,242,,14,3/11/2025,,20077,612,,CROA,RM 0-1,64.98561,-148.8803,,yes,yes,
1,243,,14,3/11/2025,,20078,791,,CROA,RM 0-1,64.98561,-148.8803,,yes,,yes
1,244,,14,3/11/2025,,20079,661,,CROA,RM 0-1,64.98561,-148.8803,,yes,yes,
1,245,,14,3/11/2025,,20080,623,,CROA,RM 0-1,64.98561,-148.8803,,yes,yes,
1,246,,14,3/11/2025,,20081,938,,CROA,RM 0-1,64.98561,-148.8803,,yes,,yes
1,247,,14,3/11/2025,,20082,680,,CROA,RM 0-1,64.98561,-148.8803,,yes,yes,
1,248,,14,3/11/2025,,20083,635,,CROA,RM 0-1,64.98561,-148.8803,,yes,yes,
1,249,,14,3/11/2025,,20084,647,,CROA,RM 0-1,64.98561,-148.8803,,yes,yes,
1,250,,14,3/11/2025,,20085,640,,CROA,RM 0-1,64.98561,-148.8803,,yes,yes,
1,251,,14,3/11/2025,,20086,585,,CROA,RM 0-1,64.98561,-148.8803,,yes,,
1,252,,14,3/11/2025,,20087,670,,CROA,RM 0-1,64.98561,-148.8803,,yes,yes,
1,253,,14,3/11/2025,,20088,593,,CROA,RM 0-1,64.98561,-148.8803,,yes,,
1,254,,14,3/11/2025,,20089,797,,CROA,RM 0-1,64.98561,-148.8803,,yes,,yes
1,255,,14,3/11/2025,,20090,642,,CROA,RM 0-1,64.98561,-148.8803,,yes,yes,
1,256,,15,3/11/2025,,20285,610,,CROA,RM 0-1,64.98561,-148.8803,,yes,yes,
1,257,,15,3/11/2025,,20287,665,,CROA,RM 0-1,64.98561,-148.8803,,yes,yes,
1,258,,15,3/11/2025,,20288,656,,CROA,RM 0-1,64.98561,-148.8803,,yes,yes,
1,259,,15,3/11/2025,,20289,715,,CROA,RM 0-1,64.98561,-148.8803,,yes,yes,
1,260,,15,3/11/2025,,20290,630,,CROA,RM 0-1,64.98561,-148.8803,,yes,yes,
